step,policy_vs_teacher_mse,teacher_vs_gt_mse
0,0.0053659687109757215,0.09927245322614908
1,0.011202295660041273,0.1525705698877573
2,0.013507658964954317,0.143841702491045
3,0.018781928927637637,0.18809537775814533
4,0.018714249250479043,0.28652502223849297
5,0.02338507946114987,0.2055623885244131
6,0.02036847989074886,0.17921172082424164
7,0.026707085431553423,0.20977255515754223
8,0.022477732738479972,0.18168902397155762
9,0.027489910135045648,0.21966231241822243
10,0.02190815331414342,0.18526792712509632
11,0.027940392727032304,0.2223698366433382
12,0.021004545502364635,0.18854418583214283
13,0.02533680514898151,0.2303670421242714
14,0.02067321352660656,0.19241758435964584
15,0.025928898947313428,0.2261639665812254
