step,policy_vs_teacher_mse,teacher_vs_gt_mse
0,0.009472939826082438,0.16229244321584702
1,0.012091097421944141,0.20491683669388294
2,0.015980796422809362,0.20328010618686676
3,0.022641110816039145,0.22909973189234734
4,0.021355171455070376,0.263320604339242
5,0.02511579473502934,0.24085066094994545
6,0.019773618900217116,0.22887068428099155
7,0.023427923675626516,0.25166635774075985
8,0.022660010727122426,0.24330712668597698
9,0.02722185617312789,0.2739929724484682
10,0.022645233140792698,0.24430757574737072
11,0.026309037813916802,0.26895924285054207
12,0.022856270195916295,0.2517911121249199
13,0.026752291596494615,0.2780252508819103
14,0.02206588163971901,0.25665897503495216
15,0.025147233624011278,0.27430059015750885
