step,policy_vs_teacher_mse,teacher_vs_gt_mse
0,0.0004040253843413666,0.5792574286460876
1,0.00034862643224187195,0.271676242351532
2,0.0003557439777068794,0.5817076861858368
3,0.00034433948167134076,0.278974249958992
4,0.00039779391954652965,0.6380285322666168
5,0.0003776163066504523,0.2696678340435028
6,0.00032754689163994044,0.5771171450614929
7,0.00035523399128578603,0.2689150720834732
8,0.000320336694130674,0.5978080630302429
9,0.00035858982300851494,0.2854098826646805
10,0.0003446110640652478,0.6056392192840576
11,0.0003467726637609303,0.29310449957847595
12,0.0003281890822108835,0.5948996841907501
13,0.0003157028404530138,0.299925833940506
14,0.0003191666182829067,0.6054518520832062
15,0.0002718334289966151,0.3007286787033081
