step,reward_policy,reward_teacher,continue_policy,continue_teacher
0,0.6263284385204315,0.519130676984787,0.9990072846412659,0.9990125000476837
1,0.44462381303310394,0.44324979186058044,0.9989151656627655,0.9989406764507294
2,0.44243936240673065,0.45720647275447845,0.998862624168396,0.998894453048706
3,0.617528885602951,0.6300088465213776,0.9988195300102234,0.9988504350185394
4,0.5136577486991882,0.6208073496818542,0.9989517331123352,0.9989345967769623
5,0.5413339734077454,0.4713201969861984,0.9990255236625671,0.9990071654319763
6,0.5290233790874481,0.5287507176399231,0.9989002645015717,0.9989146292209625
7,0.4694811850786209,0.4831976294517517,0.9989015758037567,0.9988995790481567
8,0.47949206829071045,0.4834079146385193,0.9987763464450836,0.9988020062446594
9,0.581049382686615,0.6121576428413391,0.9987490475177765,0.998746246099472
10,0.6734396815299988,0.6716398596763611,0.9988294541835785,0.9988159835338593
11,0.6185237765312195,0.5972017347812653,0.9989007711410522,0.9989158511161804
12,0.5686107575893402,0.5041794925928116,0.9988529682159424,0.9988418519496918
13,0.6175916790962219,0.6096542775630951,0.9990068972110748,0.9990394711494446
14,0.5941174328327179,0.5485256016254425,0.9990051090717316,0.9989802241325378
15,0.579685389995575,0.6035727262496948,0.9990610182285309,0.9990747272968292
