policy,seed,return,length,success,caught
bc,0,970.0,500,1,1
bc,1,479.0,500,1,1
bc,2,841.0,500,1,1
bc,3,122.0,500,1,1
bc,4,0.0,500,0,0
bc,5,837.0,500,1,1
bc,6,130.0,500,1,1
bc,7,0.0,500,0,0
bc,8,0.0,500,0,0
bc,9,762.0,500,1,1
bc,10,875.0,500,1,1
bc,11,0.0,500,0,0
bc,12,0.0,500,0,0
bc,13,160.0,500,1,1
bc,14,924.0,500,1,1
bc,15,0.0,500,0,0
bc,16,350.0,500,1,1
bc,17,615.0,500,1,1
bc,18,0.0,500,0,0
bc,19,0.0,500,0,0
bc,20,0.0,500,0,0
bc,21,0.0,500,0,0
bc,22,0.0,500,0,0
bc,23,0.0,500,0,0
bc,24,0.0,500,0,0
bc,25,0.0,500,0,0
bc,26,712.0,500,1,1
bc,27,962.0,500,1,1
bc,28,102.0,500,1,1
bc,29,268.0,500,1,1
bc,30,0.0,500,0,0
bc,31,0.0,500,0,0
bc,32,0.0,500,0,0
bc,33,0.0,500,0,0
bc,34,0.0,500,0,0
bc,35,896.0,500,1,1
bc,36,25.0,500,1,1
bc,37,0.0,500,0,0
bc,38,0.0,500,0,0
bc,39,862.0,500,1,1
bc,40,0.0,500,0,0
bc,41,0.0,500,0,0
bc,42,957.0,500,1,1
bc,43,0.0,500,0,0
bc,44,707.0,500,1,1
bc,45,0.0,500,0,0
bc,46,0.0,500,0,0
bc,47,309.0,500,1,1
bc,48,76.0,500,1,1
bc,49,435.0,500,1,1
bc,50,0.0,500,0,0
bc,51,0.0,500,0,0
bc,52,377.0,500,1,1
bc,53,0.0,500,0,0
bc,54,0.0,500,0,0
bc,55,0.0,500,0,0
bc,56,106.0,500,1,1
bc,57,0.0,500,0,0
bc,58,506.0,500,1,1
bc,59,0.0,500,0,0
bc,60,720.0,500,1,1
bc,61,751.0,500,1,1
bc,62,0.0,500,0,0
bc,63,0.0,500,0,0
bc,64,0.0,500,0,0
bc,65,0.0,500,0,0
bc,66,0.0,500,0,0
bc,67,953.0,500,1,1
bc,68,0.0,500,0,0
bc,69,0.0,500,0,0
bc,70,0.0,500,0,0
bc,71,0.0,500,0,0
bc,72,0.0,500,0,0
bc,73,975.0,500,1,1
bc,74,0.0,500,0,0
bc,75,0.0,500,0,0
bc,76,0.0,500,0,0
bc,77,0.0,500,0,0
bc,78,0.0,500,0,0
bc,79,978.0,500,1,1
bc,80,951.0,500,1,1
bc,81,490.0,500,1,1
bc,82,113.0,500,1,1
bc,83,0.0,500,0,0
bc,84,0.0,500,0,0
bc,85,0.0,500,0,0
bc,86,650.0,500,1,1
bc,87,925.0,500,1,1
bc,88,930.0,500,1,1
bc,89,639.0,500,1,1
bc,90,0.0,500,0,0
bc,91,0.0,500,0,0
bc,92,0.0,500,0,0
bc,93,0.0,500,0,0
bc,94,42.0,500,1,1
bc,95,819.0,500,1,1
bc,96,0.0,500,0,0
bc,97,0.0,500,0,0
bc,98,79.0,500,1,1
bc,99,0.0,500,0,0
bc,100,0.0,500,0,0
bc,101,995.0,500,1,1
bc,102,0.0,500,0,0
bc,103,0.0,500,0,0
bc,104,608.0,500,1,1
bc,105,315.0,500,1,1
bc,106,0.0,500,0,0
bc,107,0.0,500,0,0
bc,108,0.0,500,0,0
bc,109,0.0,500,0,0
bc,110,0.0,500,0,0
bc,111,0.0,500,0,0
bc,112,666.0,500,1,1
bc,113,450.0,500,1,1
bc,114,0.0,500,0,0
bc,115,0.0,500,0,0
bc,116,0.0,500,0,0
bc,117,988.0,500,1,1
bc,118,0.0,500,0,0
bc,119,515.0,500,1,1
bc,120,881.0,500,1,1
bc,121,0.0,500,0,0
bc,122,0.0,500,0,0
bc,123,0.0,500,0,0
bc,124,536.0,500,1,1
bc,125,0.0,500,0,0
bc,126,0.0,500,0,0
bc,127,134.0,500,1,1
bc,128,0.0,500,0,0
bc,129,0.0,500,0,0
bc,130,0.0,500,0,0
