policy,seed,return,length,success,caught
phase3,200,495.0,500,1,1
phase3,201,0.0,500,0,0
phase3,202,0.0,500,0,0
phase3,203,0.0,500,0,0
phase3,204,0.0,500,0,0
phase3,205,0.0,500,0,0
phase3,206,0.0,500,0,0
phase3,207,749.0,500,1,1
phase3,208,767.0,500,1,1
phase3,209,0.0,500,0,0
phase3,210,0.0,500,0,0
phase3,211,0.0,500,0,0
phase3,212,0.0,500,0,0
phase3,213,543.0,500,1,1
phase3,214,268.0,500,1,1
phase3,215,0.0,500,0,0
phase3,216,431.0,500,1,1
phase3,217,84.0,500,1,1
phase3,218,0.0,500,0,0
phase3,219,0.0,500,0,0
phase3,220,0.0,500,0,0
phase3,221,266.0,500,1,1
phase3,222,924.0,500,1,1
phase3,223,122.0,500,1,1
phase3,224,534.0,500,1,1
phase3,225,0.0,500,0,0
phase3,226,0.0,500,0,0
phase3,227,0.0,500,0,0
phase3,228,0.0,500,0,0
phase3,229,0.0,500,0,0
phase3,230,855.0,500,1,1
phase3,231,0.0,500,0,0
phase3,232,340.0,500,1,1
phase3,233,0.0,500,0,0
phase3,234,0.0,500,0,0
phase3,235,0.0,500,0,0
phase3,236,0.0,500,0,0
phase3,237,0.0,500,0,0
phase3,238,841.0,500,1,1
phase3,239,0.0,500,0,0
phase3,240,0.0,500,0,0
phase3,241,0.0,500,0,0
phase3,242,0.0,500,0,0
phase3,243,0.0,500,0,0
phase3,244,635.0,500,1,1
phase3,245,340.0,500,1,1
phase3,246,966.0,500,1,1
phase3,247,944.0,500,1,1
phase3,248,0.0,500,0,0
phase3,249,412.0,500,1,1
phase3,250,0.0,500,0,0
phase3,251,832.0,500,1,1
phase3,252,295.0,500,1,1
phase3,253,28.0,500,1,1
phase3,254,954.0,500,1,1
phase3,255,0.0,500,0,0
phase3,256,0.0,500,0,0
phase3,257,0.0,500,0,0
phase3,258,488.0,500,1,1
phase3,259,630.0,500,1,1
phase3,260,0.0,500,0,0
phase3,261,0.0,500,0,0
phase3,262,934.0,500,1,1
phase3,263,0.0,500,0,0
phase3,264,0.0,500,0,0
phase3,265,963.0,500,1,1
phase3,266,557.0,500,1,1
phase3,267,0.0,500,0,0
phase3,268,404.0,500,1,1
phase3,269,815.0,500,1,1
phase3,270,0.0,500,0,0
phase3,271,248.0,500,1,1
phase3,272,0.0,500,0,0
phase3,273,0.0,500,0,0
phase3,274,0.0,500,0,0
phase3,275,962.0,500,1,1
phase3,276,195.0,500,1,1
phase3,277,889.0,500,1,1
phase3,278,0.0,500,0,0
phase3,279,100.0,500,1,1
phase3,280,0.0,500,0,0
phase3,281,0.0,500,0,0
phase3,282,0.0,500,0,0
phase3,283,0.0,500,0,0
phase3,284,424.0,500,1,1
phase3,285,805.0,500,1,1
phase3,286,0.0,500,0,0
phase3,287,919.0,500,1,1
phase3,288,745.0,500,1,1
phase3,289,0.0,500,0,0
phase3,290,0.0,500,0,0
phase3,291,822.0,500,1,1
phase3,292,0.0,500,0,0
phase3,293,0.0,500,0,0
phase3,294,0.0,500,0,0
phase3,295,0.0,500,0,0
phase3,296,0.0,500,0,0
phase3,297,0.0,500,0,0
phase3,298,0.0,500,0,0
phase3,299,505.0,500,1,1
phase3,300,500.0,500,1,1
phase3,301,0.0,500,0,0
phase3,302,0.0,500,0,0
phase3,303,433.0,500,1,1
phase3,304,0.0,500,0,0
phase3,305,0.0,500,0,0
phase3,306,903.0,500,1,1
phase3,307,823.0,500,1,1
phase3,308,0.0,500,0,0
phase3,309,0.0,500,0,0
phase3,310,0.0,500,0,0
phase3,311,188.0,500,1,1
phase3,312,715.0,500,1,1
phase3,313,0.0,500,0,0
phase3,314,211.0,500,1,1
phase3,315,377.0,500,1,1
phase3,316,0.0,500,0,0
phase3,317,0.0,500,0,0
phase3,318,847.0,500,1,1
phase3,319,216.0,500,1,1
phase3,320,301.0,500,1,1
phase3,321,0.0,500,0,0
phase3,322,0.0,500,0,0
phase3,323,305.0,500,1,1
phase3,324,0.0,500,0,0
phase3,325,399.0,500,1,1
phase3,326,939.0,500,1,1
phase3,327,941.0,500,1,1
phase3,328,0.0,500,0,0
phase3,329,0.0,500,0,0
phase3,330,0.0,500,0,0
phase3,331,0.0,500,0,0
phase3,332,0.0,500,0,0
phase3,333,944.0,500,1,1
phase3,334,840.0,500,1,1
phase3,335,0.0,500,0,0
phase3,336,925.0,500,1,1
phase3,337,0.0,500,0,0
phase3,338,137.0,500,1,1
phase3,339,0.0,500,0,0
phase3,340,284.0,500,1,1
phase3,341,0.0,500,0,0
phase3,342,143.0,500,1,1
phase3,343,313.0,500,1,1
phase3,344,0.0,500,0,0
phase3,345,968.0,500,1,1
phase3,346,735.0,500,1,1
phase3,347,0.0,500,0,0
phase3,348,0.0,500,0,0
phase3,349,0.0,500,0,0
phase3,350,0.0,500,0,0
phase3,351,711.0,500,1,1
phase3,352,0.0,500,0,0
phase3,353,0.0,500,0,0
phase3,354,0.0,500,0,0
phase3,355,0.0,500,0,0
phase3,356,0.0,500,0,0
phase3,357,194.0,500,1,1
phase3,358,497.0,500,1,1
phase3,359,0.0,500,0,0
phase3,360,961.0,500,1,1
phase3,361,0.0,500,0,0
phase3,362,0.0,500,0,0
phase3,363,923.0,500,1,1
phase3,364,0.0,500,0,0
phase3,365,0.0,500,0,0
phase3,366,0.0,500,0,0
phase3,367,0.0,500,0,0
phase3,368,425.0,500,1,1
phase3,369,0.0,500,0,0
phase3,370,421.0,500,1,1
phase3,371,0.0,500,0,0
phase3,372,0.0,500,0,0
phase3,373,632.0,500,1,1
phase3,374,0.0,500,0,0
phase3,375,0.0,500,0,0
phase3,376,756.0,500,1,1
phase3,377,455.0,500,1,1
phase3,378,0.0,500,0,0
phase3,379,0.0,500,0,0
phase3,380,0.0,500,0,0
phase3,381,0.0,500,0,0
phase3,382,0.0,500,0,0
phase3,383,0.0,500,0,0
phase3,384,76.0,500,1,1
phase3,385,395.0,500,1,1
phase3,386,535.0,500,1,1
phase3,387,222.0,500,1,1
phase3,388,86.0,500,1,1
phase3,389,214.0,500,1,1
phase3,390,0.0,500,0,0
phase3,391,0.0,500,0,0
phase3,392,171.0,500,1,1
phase3,393,382.0,500,1,1
phase3,394,931.0,500,1,1
phase3,395,0.0,500,0,0
phase3,396,47.0,500,1,1
phase3,397,836.0,500,1,1
phase3,398,0.0,500,0,0
phase3,399,451.0,500,1,1
phase3,400,0.0,500,0,0
phase3,401,0.0,500,0,0
phase3,402,4.0,500,1,1
phase3,403,408.0,500,1,1
phase3,404,0.0,500,0,0
phase3,405,426.0,500,1,1
phase3,406,453.0,500,1,1
phase3,407,845.0,500,1,1
phase3,408,0.0,500,0,0
phase3,409,0.0,500,0,0
phase3,410,0.0,500,0,0
phase3,411,0.0,500,0,0
phase3,412,0.0,500,0,0
phase3,413,0.0,500,0,0
phase3,414,0.0,500,0,0
phase3,415,888.0,500,1,1
phase3,416,288.0,500,1,1
phase3,417,0.0,500,0,0
phase3,418,0.0,500,0,0
phase3,419,0.0,500,0,0
phase3,420,0.0,500,0,0
phase3,421,0.0,500,0,0
phase3,422,887.0,500,1,1
phase3,423,456.0,500,1,1
phase3,424,0.0,500,0,0
phase3,425,456.0,500,1,1
phase3,426,0.0,500,0,0
phase3,427,602.0,500,1,1
phase3,428,532.0,500,1,1
phase3,429,0.0,500,0,0
phase3,430,826.0,500,1,1
phase3,431,409.0,500,1,1
phase3,432,0.0,500,0,0
phase3,433,0.0,500,0,0
phase3,434,0.0,500,0,0
phase3,435,0.0,500,0,0
phase3,436,0.0,500,0,0
phase3,437,151.0,500,1,1
phase3,438,807.0,500,1,1
phase3,439,769.0,500,1,1
phase3,440,0.0,500,0,0
phase3,441,450.0,500,1,1
phase3,442,0.0,500,0,0
phase3,443,522.0,500,1,1
phase3,444,178.0,500,1,1
phase3,445,5.0,500,1,1
phase3,446,206.0,500,1,1
phase3,447,126.0,500,1,1
phase3,448,0.0,500,0,0
phase3,449,47.0,500,1,1
phase3,450,0.0,500,0,0
phase3,451,0.0,500,0,0
phase3,452,0.0,500,0,0
phase3,453,738.0,500,1,1
phase3,454,908.0,500,1,1
phase3,455,0.0,500,0,0
phase3,456,0.0,500,0,0
phase3,457,0.0,500,0,0
phase3,458,0.0,500,0,0
phase3,459,0.0,500,0,0
phase3,460,0.0,500,0,0
phase3,461,0.0,500,0,0
phase3,462,951.0,500,1,1
phase3,463,0.0,500,0,0
phase3,464,0.0,500,0,0
phase3,465,308.0,500,1,1
phase3,466,0.0,500,0,0
phase3,467,765.0,500,1,1
phase3,468,0.0,500,0,0
phase3,469,0.0,500,0,0
phase3,470,835.0,500,1,1
phase3,471,0.0,500,0,0
phase3,472,0.0,500,0,0
phase3,473,0.0,500,0,0
phase3,474,0.0,500,0,0
phase3,475,0.0,500,0,0
phase3,476,0.0,500,0,0
phase3,477,931.0,500,1,1
phase3,478,725.0,500,1,1
phase3,479,0.0,500,0,0
phase3,480,332.0,500,1,1
phase3,481,846.0,500,1,1
phase3,482,144.0,500,1,1
phase3,483,0.0,500,0,0
phase3,484,972.0,500,1,1
phase3,485,0.0,500,0,0
phase3,486,0.0,500,0,0
phase3,487,0.0,500,0,0
phase3,488,160.0,500,1,1
phase3,489,487.0,500,1,1
phase3,490,0.0,500,0,0
phase3,491,183.0,500,1,1
phase3,492,0.0,500,0,0
phase3,493,0.0,500,0,0
phase3,494,0.0,500,0,0
phase3,495,853.0,500,1,1
phase3,496,480.0,500,1,1
phase3,497,299.0,500,1,1
phase3,498,0.0,500,0,0
phase3,499,484.0,500,1,1
