policy,seed,return,length,success,caught
phase3,0,968.0,500,1,1
phase3,1,556.0,500,1,1
phase3,2,0.0,500,0,0
phase3,3,0.0,500,0,0
phase3,4,0.0,500,0,0
phase3,5,0.0,500,0,0
phase3,6,0.0,500,0,0
phase3,7,95.0,500,1,1
phase3,8,0.0,500,0,0
phase3,9,0.0,500,0,0
phase3,10,0.0,500,0,0
phase3,11,614.0,500,1,1
phase3,12,0.0,500,0,0
phase3,13,0.0,500,0,0
phase3,14,983.0,500,1,1
phase3,15,550.0,500,1,1
phase3,16,357.0,500,1,1
phase3,17,219.0,500,1,1
phase3,18,0.0,500,0,0
phase3,19,211.0,500,1,1
phase3,20,0.0,500,0,0
phase3,21,0.0,500,0,0
phase3,22,320.0,500,1,1
phase3,23,43.0,500,1,1
phase3,24,0.0,500,0,0
phase3,25,0.0,500,0,0
phase3,26,114.0,500,1,1
phase3,27,979.0,500,1,1
phase3,28,0.0,500,0,0
phase3,29,0.0,500,0,0
phase3,30,488.0,500,1,1
phase3,31,104.0,500,1,1
phase3,32,212.0,500,1,1
phase3,33,0.0,500,0,0
phase3,34,298.0,500,1,1
phase3,35,0.0,500,0,0
phase3,36,0.0,500,0,0
phase3,37,0.0,500,0,0
phase3,38,0.0,500,0,0
phase3,39,861.0,500,1,1
phase3,40,0.0,500,0,0
phase3,41,301.0,500,1,1
phase3,42,979.0,500,1,1
phase3,43,197.0,500,1,1
phase3,44,537.0,500,1,1
phase3,45,249.0,500,1,1
phase3,46,0.0,500,0,0
phase3,47,943.0,500,1,1
phase3,48,0.0,500,0,0
phase3,49,657.0,500,1,1
phase3,50,0.0,500,0,0
phase3,51,0.0,500,0,0
phase3,52,0.0,500,0,0
phase3,53,0.0,500,0,0
phase3,54,0.0,500,0,0
phase3,55,0.0,500,0,0
phase3,56,0.0,500,0,0
phase3,57,0.0,500,0,0
phase3,58,0.0,500,0,0
phase3,59,530.0,500,1,1
phase3,60,0.0,500,0,0
phase3,61,871.0,500,1,1
phase3,62,747.0,500,1,1
phase3,63,0.0,500,0,0
phase3,64,774.0,500,1,1
phase3,65,792.0,500,1,1
phase3,66,0.0,500,0,0
phase3,67,985.0,500,1,1
phase3,68,0.0,500,0,0
phase3,69,970.0,500,1,1
phase3,70,680.0,500,1,1
phase3,71,488.0,500,1,1
phase3,72,0.0,500,0,0
phase3,73,987.0,500,1,1
phase3,74,0.0,500,0,0
phase3,75,463.0,500,1,1
phase3,76,0.0,500,0,0
phase3,77,901.0,500,1,1
phase3,78,288.0,500,1,1
phase3,79,971.0,500,1,1
phase3,80,988.0,500,1,1
phase3,81,0.0,500,0,0
phase3,82,889.0,500,1,1
phase3,83,925.0,500,1,1
phase3,84,0.0,500,0,0
phase3,85,256.0,500,1,1
phase3,86,0.0,500,0,0
phase3,87,972.0,500,1,1
phase3,88,982.0,500,1,1
phase3,89,0.0,500,0,0
phase3,90,128.0,500,1,1
phase3,91,0.0,500,0,0
phase3,92,0.0,500,0,0
phase3,93,317.0,500,1,1
phase3,94,0.0,500,0,0
phase3,95,0.0,500,0,0
phase3,96,970.0,500,1,1
phase3,97,0.0,500,0,0
phase3,98,593.0,500,1,1
phase3,99,660.0,500,1,1
phase3,100,0.0,500,0,0
phase3,101,991.0,500,1,1
phase3,102,608.0,500,1,1
phase3,103,0.0,500,0,0
phase3,104,0.0,500,0,0
phase3,105,0.0,500,0,0
phase3,106,0.0,500,0,0
phase3,107,0.0,500,0,0
phase3,108,533.0,500,1,1
phase3,109,0.0,500,0,0
phase3,110,473.0,500,1,1
phase3,111,0.0,500,0,0
phase3,112,0.0,500,0,0
phase3,113,0.0,500,0,0
phase3,114,812.0,500,1,1
phase3,115,0.0,500,0,0
phase3,116,0.0,500,0,0
phase3,117,983.0,500,1,1
phase3,118,951.0,500,1,1
phase3,119,625.0,500,1,1
phase3,120,975.0,500,1,1
phase3,121,0.0,500,0,0
phase3,122,0.0,500,0,0
phase3,123,0.0,500,0,0
phase3,124,0.0,500,0,0
phase3,125,0.0,500,0,0
phase3,126,0.0,500,0,0
phase3,127,49.0,500,1,1
phase3,128,0.0,500,0,0
phase3,129,0.0,500,0,0
phase3,130,0.0,500,0,0
phase3,131,177.0,500,1,1
phase3,132,0.0,500,0,0
phase3,133,712.0,500,1,1
phase3,134,0.0,500,0,0
phase3,135,0.0,500,0,0
phase3,136,110.0,500,1,1
phase3,137,0.0,500,0,0
phase3,138,0.0,500,0,0
phase3,139,986.0,500,1,1
phase3,140,0.0,500,0,0
phase3,141,866.0,500,1,1
phase3,142,0.0,500,0,0
phase3,143,0.0,500,0,0
phase3,144,0.0,500,0,0
phase3,145,0.0,500,0,0
phase3,146,995.0,500,1,1
phase3,147,0.0,500,0,0
phase3,148,0.0,500,0,0
phase3,149,0.0,500,0,0
phase3,150,0.0,500,0,0
phase3,151,0.0,500,0,0
phase3,152,0.0,500,0,0
phase3,153,296.0,500,1,1
phase3,154,984.0,500,1,1
phase3,155,0.0,500,0,0
phase3,156,0.0,500,0,0
phase3,157,0.0,500,0,0
phase3,158,0.0,500,0,0
phase3,159,0.0,500,0,0
phase3,160,783.0,500,1,1
phase3,161,277.0,500,1,1
phase3,162,935.0,500,1,1
phase3,163,0.0,500,0,0
phase3,164,617.0,500,1,1
phase3,165,0.0,500,0,0
phase3,166,0.0,500,0,0
phase3,167,0.0,500,0,0
phase3,168,0.0,500,0,0
phase3,169,84.0,500,1,1
phase3,170,0.0,500,0,0
phase3,171,503.0,500,1,1
phase3,172,0.0,500,0,0
phase3,173,0.0,500,0,0
phase3,174,0.0,500,0,0
phase3,175,0.0,500,0,0
phase3,176,0.0,500,0,0
phase3,177,976.0,500,1,1
phase3,178,624.0,500,1,1
phase3,179,0.0,500,0,0
phase3,180,0.0,500,0,0
phase3,181,1.0,500,1,1
phase3,182,0.0,500,0,0
phase3,183,154.0,500,1,1
phase3,184,269.0,500,1,1
phase3,185,0.0,500,0,0
phase3,186,983.0,500,1,1
phase3,187,222.0,500,1,1
phase3,188,983.0,500,1,1
phase3,189,0.0,500,0,0
phase3,190,0.0,500,0,0
phase3,191,0.0,500,0,0
phase3,192,0.0,500,0,0
phase3,193,0.0,500,0,0
phase3,194,80.0,500,1,1
phase3,195,1.0,500,1,1
phase3,196,473.0,500,1,1
phase3,197,0.0,500,0,0
phase3,198,0.0,500,0,0
phase3,199,986.0,500,1,1
phase3,200,0.0,500,0,0
phase3,201,0.0,500,0,0
phase3,202,127.0,500,1,1
phase3,203,0.0,500,0,0
phase3,204,128.0,500,1,1
phase3,205,896.0,500,1,1
phase3,206,0.0,500,0,0
phase3,207,0.0,500,0,0
phase3,208,0.0,500,0,0
phase3,209,0.0,500,0,0
phase3,210,297.0,500,1,1
phase3,211,210.0,500,1,1
phase3,212,702.0,500,1,1
phase3,213,0.0,500,0,0
phase3,214,111.0,500,1,1
phase3,215,0.0,500,0,0
phase3,216,0.0,500,0,0
phase3,217,0.0,500,0,0
phase3,218,726.0,500,1,1
phase3,219,0.0,500,0,0
phase3,220,0.0,500,0,0
phase3,221,990.0,500,1,1
phase3,222,979.0,500,1,1
phase3,223,613.0,500,1,1
phase3,224,0.0,500,0,0
phase3,225,0.0,500,0,0
phase3,226,0.0,500,0,0
phase3,227,506.0,500,1,1
phase3,228,452.0,500,1,1
phase3,229,0.0,500,0,0
phase3,230,961.0,500,1,1
phase3,231,619.0,500,1,1
phase3,232,0.0,500,0,0
phase3,233,0.0,500,0,0
phase3,234,343.0,500,1,1
phase3,235,0.0,500,0,0
phase3,236,0.0,500,0,0
phase3,237,0.0,500,0,0
phase3,238,0.0,500,0,0
phase3,239,0.0,500,0,0
phase3,240,0.0,500,0,0
phase3,241,0.0,500,0,0
phase3,242,0.0,500,0,0
phase3,243,0.0,500,0,0
phase3,244,0.0,500,0,0
phase3,245,0.0,500,0,0
phase3,246,981.0,500,1,1
phase3,247,980.0,500,1,1
phase3,248,0.0,500,0,0
phase3,249,986.0,500,1,1
phase3,250,0.0,500,0,0
phase3,251,538.0,500,1,1
phase3,252,413.0,500,1,1
phase3,253,0.0,500,0,0
phase3,254,992.0,500,1,1
phase3,255,0.0,500,0,0
phase3,256,0.0,500,0,0
phase3,257,0.0,500,0,0
phase3,258,0.0,500,0,0
phase3,259,0.0,500,0,0
phase3,260,208.0,500,1,1
phase3,261,0.0,500,0,0
phase3,262,983.0,500,1,1
phase3,263,347.0,500,1,1
phase3,264,0.0,500,0,0
phase3,265,978.0,500,1,1
phase3,266,0.0,500,0,0
phase3,267,0.0,500,0,0
phase3,268,413.0,500,1,1
phase3,269,0.0,500,0,0
phase3,270,795.0,500,1,1
phase3,271,0.0,500,0,0
phase3,272,430.0,500,1,1
phase3,273,0.0,500,0,0
phase3,274,199.0,500,1,1
phase3,275,0.0,500,0,0
phase3,276,715.0,500,1,1
phase3,277,0.0,500,0,0
phase3,278,972.0,500,1,1
phase3,279,736.0,500,1,1
phase3,280,67.0,500,1,1
phase3,281,0.0,500,0,0
phase3,282,0.0,500,0,0
phase3,283,108.0,500,1,1
phase3,284,149.0,500,1,1
phase3,285,0.0,500,0,0
phase3,286,0.0,500,0,0
phase3,287,0.0,500,0,0
phase3,288,0.0,500,0,0
phase3,289,0.0,500,0,0
phase3,290,440.0,500,1,1
phase3,291,917.0,500,1,1
phase3,292,76.0,500,1,1
phase3,293,0.0,500,0,0
phase3,294,484.0,500,1,1
phase3,295,0.0,500,0,0
phase3,296,0.0,500,0,0
phase3,297,0.0,500,0,0
phase3,298,762.0,500,1,1
phase3,299,985.0,500,1,1
phase3,300,0.0,500,0,0
phase3,301,357.0,500,1,1
phase3,302,0.0,500,0,0
phase3,303,0.0,500,0,0
phase3,304,0.0,500,0,0
phase3,305,0.0,500,0,0
phase3,306,927.0,500,1,1
phase3,307,978.0,500,1,1
phase3,308,719.0,500,1,1
phase3,309,0.0,500,0,0
phase3,310,358.0,500,1,1
phase3,311,0.0,500,0,0
phase3,312,0.0,500,0,0
phase3,313,0.0,500,0,0
phase3,314,0.0,500,0,0
phase3,315,0.0,500,0,0
phase3,316,0.0,500,0,0
phase3,317,949.0,500,1,1
phase3,318,0.0,500,0,0
phase3,319,0.0,500,0,0
phase3,320,0.0,500,0,0
phase3,321,0.0,500,0,0
phase3,322,0.0,500,0,0
phase3,323,213.0,500,1,1
phase3,324,0.0,500,0,0
phase3,325,951.0,500,1,1
phase3,326,986.0,500,1,1
phase3,327,987.0,500,1,1
phase3,328,0.0,500,0,0
phase3,329,0.0,500,0,0
phase3,330,0.0,500,0,0
phase3,331,759.0,500,1,1
phase3,332,0.0,500,0,0
phase3,333,986.0,500,1,1
phase3,334,0.0,500,0,0
phase3,335,0.0,500,0,0
phase3,336,0.0,500,0,0
phase3,337,0.0,500,0,0
phase3,338,155.0,500,1,1
phase3,339,0.0,500,0,0
phase3,340,0.0,500,0,0
phase3,341,0.0,500,0,0
phase3,342,0.0,500,0,0
phase3,343,937.0,500,1,1
phase3,344,470.0,500,1,1
phase3,345,990.0,500,1,1
phase3,346,336.0,500,1,1
phase3,347,0.0,500,0,0
phase3,348,0.0,500,0,0
phase3,349,0.0,500,0,0
phase3,350,0.0,500,0,0
phase3,351,0.0,500,0,0
phase3,352,0.0,500,0,0
phase3,353,0.0,500,0,0
phase3,354,0.0,500,0,0
phase3,355,0.0,500,0,0
phase3,356,0.0,500,0,0
phase3,357,0.0,500,0,0
phase3,358,673.0,500,1,1
phase3,359,0.0,500,0,0
phase3,360,975.0,500,1,1
phase3,361,406.0,500,1,1
phase3,362,753.0,500,1,1
phase3,363,783.0,500,1,1
phase3,364,0.0,500,0,0
phase3,365,0.0,500,0,0
phase3,366,378.0,500,1,1
phase3,367,0.0,500,0,0
phase3,368,0.0,500,0,0
phase3,369,0.0,500,0,0
phase3,370,0.0,500,0,0
phase3,371,0.0,500,0,0
phase3,372,0.0,500,0,0
phase3,373,0.0,500,0,0
phase3,374,0.0,500,0,0
phase3,375,0.0,500,0,0
phase3,376,0.0,500,0,0
phase3,377,0.0,500,0,0
phase3,378,0.0,500,0,0
phase3,379,0.0,500,0,0
phase3,380,0.0,500,0,0
phase3,381,849.0,500,1,1
phase3,382,0.0,500,0,0
phase3,383,148.0,500,1,1
phase3,384,0.0,500,0,0
phase3,385,0.0,500,0,0
phase3,386,0.0,500,0,0
phase3,387,0.0,500,0,0
phase3,388,0.0,500,0,0
phase3,389,0.0,500,0,0
phase3,390,38.0,500,1,1
phase3,391,0.0,500,0,0
phase3,392,981.0,500,1,1
phase3,393,0.0,500,0,0
phase3,394,989.0,500,1,1
phase3,395,0.0,500,0,0
phase3,396,445.0,500,1,1
phase3,397,0.0,500,0,0
phase3,398,182.0,500,1,1
phase3,399,0.0,500,0,0
phase3,400,726.0,500,1,1
phase3,401,0.0,500,0,0
phase3,402,83.0,500,1,1
phase3,403,0.0,500,0,0
phase3,404,0.0,500,0,0
phase3,405,907.0,500,1,1
phase3,406,179.0,500,1,1
phase3,407,0.0,500,0,0
phase3,408,977.0,500,1,1
phase3,409,0.0,500,0,0
phase3,410,781.0,500,1,1
phase3,411,0.0,500,0,0
phase3,412,0.0,500,0,0
phase3,413,492.0,500,1,1
phase3,414,394.0,500,1,1
phase3,415,948.0,500,1,1
phase3,416,316.0,500,1,1
phase3,417,0.0,500,0,0
phase3,418,438.0,500,1,1
phase3,419,108.0,500,1,1
phase3,420,0.0,500,0,0
phase3,421,0.0,500,0,0
phase3,422,0.0,500,0,0
phase3,423,385.0,500,1,1
phase3,424,118.0,500,1,1
phase3,425,0.0,500,0,0
phase3,426,0.0,500,0,0
phase3,427,737.0,500,1,1
phase3,428,0.0,500,0,0
phase3,429,664.0,500,1,1
phase3,430,0.0,500,0,0
phase3,431,0.0,500,0,0
phase3,432,110.0,500,1,1
phase3,433,0.0,500,0,0
phase3,434,0.0,500,0,0
phase3,435,0.0,500,0,0
phase3,436,613.0,500,1,1
phase3,437,0.0,500,0,0
phase3,438,32.0,500,1,1
phase3,439,276.0,500,1,1
phase3,440,0.0,500,0,0
phase3,441,0.0,500,0,0
phase3,442,0.0,500,0,0
phase3,443,328.0,500,1,1
phase3,444,0.0,500,0,0
phase3,445,0.0,500,0,0
phase3,446,0.0,500,0,0
phase3,447,0.0,500,0,0
phase3,448,0.0,500,0,0
phase3,449,0.0,500,0,0
phase3,450,0.0,500,0,0
phase3,451,0.0,500,0,0
phase3,452,0.0,500,0,0
phase3,453,0.0,500,0,0
phase3,454,137.0,500,1,1
phase3,455,0.0,500,0,0
phase3,456,0.0,500,0,0
phase3,457,0.0,500,0,0
phase3,458,317.0,500,1,1
phase3,459,814.0,500,1,1
phase3,460,0.0,500,0,0
