policy,seed,return,length,success,caught
phase3,0,982.0,500,1,1
phase3,1,0.0,500,0,0
phase3,2,0.0,500,0,0
phase3,3,0.0,500,0,0
phase3,4,612.0,500,1,1
phase3,5,427.0,500,1,1
phase3,6,0.0,500,0,0
phase3,7,600.0,500,1,1
phase3,8,917.0,500,1,1
phase3,9,0.0,500,0,0
phase3,10,566.0,500,1,1
phase3,11,112.0,500,1,1
phase3,12,0.0,500,0,0
phase3,13,382.0,500,1,1
phase3,14,169.0,500,1,1
phase3,15,0.0,500,0,0
phase3,16,204.0,500,1,1
phase3,17,938.0,500,1,1
phase3,18,0.0,500,0,0
phase3,19,418.0,500,1,1
phase3,20,0.0,500,0,0
phase3,21,786.0,500,1,1
phase3,22,924.0,500,1,1
phase3,23,7.0,500,1,1
phase3,24,0.0,500,0,0
phase3,25,356.0,500,1,1
phase3,26,828.0,500,1,1
phase3,27,92.0,500,1,1
phase3,28,0.0,500,0,0
phase3,29,0.0,500,0,0
phase3,30,470.0,500,1,1
phase3,31,0.0,500,0,0
phase3,32,531.0,500,1,1
phase3,33,0.0,500,0,0
phase3,34,307.0,500,1,1
phase3,35,719.0,500,1,1
phase3,36,0.0,500,0,0
phase3,37,0.0,500,0,0
phase3,38,0.0,500,0,0
phase3,39,970.0,500,1,1
phase3,40,0.0,500,0,0
phase3,41,0.0,500,0,0
phase3,42,987.0,500,1,1
phase3,43,0.0,500,0,0
phase3,44,97.0,500,1,1
phase3,45,0.0,500,0,0
phase3,46,868.0,500,1,1
phase3,47,147.0,500,1,1
phase3,48,198.0,500,1,1
phase3,49,353.0,500,1,1
phase3,50,139.0,500,1,1
phase3,51,0.0,500,0,0
phase3,52,47.0,500,1,1
phase3,53,198.0,500,1,1
phase3,54,615.0,500,1,1
phase3,55,0.0,500,0,0
phase3,56,905.0,500,1,1
phase3,57,0.0,500,0,0
phase3,58,0.0,500,0,0
phase3,59,246.0,500,1,1
phase3,60,0.0,500,0,0
phase3,61,507.0,500,1,1
phase3,62,868.0,500,1,1
phase3,63,0.0,500,0,0
phase3,64,741.0,500,1,1
phase3,65,0.0,500,0,0
phase3,66,83.0,500,1,1
phase3,67,975.0,500,1,1
phase3,68,0.0,500,0,0
phase3,69,971.0,500,1,1
phase3,70,466.0,500,1,1
phase3,71,0.0,500,0,0
phase3,72,846.0,500,1,1
phase3,73,985.0,500,1,1
phase3,74,0.0,500,0,0
phase3,75,0.0,500,0,0
phase3,76,0.0,500,0,0
phase3,77,326.0,500,1,1
phase3,78,0.0,500,0,0
phase3,79,983.0,500,1,1
phase3,80,958.0,500,1,1
phase3,81,0.0,500,0,0
phase3,82,0.0,500,0,0
phase3,83,285.0,500,1,1
phase3,84,0.0,500,0,0
phase3,85,0.0,500,0,0
phase3,86,0.0,500,0,0
phase3,87,966.0,500,1,1
phase3,88,981.0,500,1,1
phase3,89,0.0,500,0,0
phase3,90,0.0,500,0,0
phase3,91,426.0,500,1,1
phase3,92,0.0,500,0,0
phase3,93,0.0,500,0,0
phase3,94,666.0,500,1,1
phase3,95,0.0,500,0,0
phase3,96,967.0,500,1,1
phase3,97,0.0,500,0,0
phase3,98,201.0,500,1,1
phase3,99,0.0,500,0,0
phase3,100,0.0,500,0,0
phase3,101,973.0,500,1,1
phase3,102,0.0,500,0,0
phase3,103,0.0,500,0,0
phase3,104,0.0,500,0,0
phase3,105,0.0,500,0,0
phase3,106,364.0,500,1,1
phase3,107,0.0,500,0,0
phase3,108,0.0,500,0,0
phase3,109,0.0,500,0,0
phase3,110,447.0,500,1,1
